"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"let-7j-5p",0.146927443578205,11.8097734265769,1.50758166264329,0.154329952834323,0.527406740483122,-6.85003995731498
"mir-1943-5p",0.124170523847832,8.86153192130691,1.37235919158121,0.191963569901104,0.586890333431653,-6.86006807470179
"mir-15a-3p",-0.137349136589496,6.55872340740924,-0.944444376571078,0.361272321620816,0.760844054439184,-6.8616539515201
"mir-185-3p",-0.162980463872715,7.11229361574824,-1.09556846606576,0.292119868440842,0.673664186404391,-6.86949278482351
"mir-299a-3p",0.136853310352104,6.10017340157727,0.762020685246615,0.45894283483191,0.79650823032254,-6.88205642470109
"mir-6989-3p",0.00738458368083972,5.17922888475118,0.0343995033996442,0.973053840847664,0.980347627830169,-6.89517991427508
"mir-700-3p",-0.17757827146711,6.55637688466319,-0.900860086377319,0.383197858347553,0.760844054439184,-6.90136748472668
"mir-1960-5p",0.125446145077413,5.9737267207134,0.673276093576887,0.511949866043611,0.819705341070454,-6.90767118403225
"mir-664-3p",-0.115822702528618,10.1674479650219,-1.40939632510222,0.180971664035645,0.568049945445219,-6.92647353748197
"mir-5100-3p",0.137309440020227,5.70024792641348,0.491361276530805,0.630934873841621,0.85898362342293,-6.92994568178732
"mir-540-3p",-0.028208973255877,5.31069649173158,-0.0826525993524754,0.935321054492145,0.960829810523749,-6.93179558155662
"mir-132-5p",-0.0687408475774323,5.50760143992638,-0.289548054413209,0.776489814185813,0.920481472797323,-6.95213172697698
"mir-700-5p",-0.112871006851353,7.0250524488033,-0.987390185611343,0.340538939413426,0.75062451462139,-6.95904693394769
"mir-378c-5p",0.0592055892758587,17.6071390010284,1.86199282045669,0.0841507294007687,0.448263661590555,-6.96606011416794
"mir-3535-5p",0.140848678692191,6.2295169322101,0.698308903938294,0.496645730665467,0.819705341070454,-6.96957026104788
"mir-190a-3p",0.0444510793362918,5.48257477077324,0.143397554963132,0.888060192172739,0.942261048972014,-6.97751730887935
"mir-337-3p",-0.0777632241654143,5.59811092897625,-0.268628902892253,0.792210747111832,0.920481472797323,-6.98717339712629
"mir-450b-5p",-0.111135824205439,9.66344475218962,-1.34038920394115,0.201885225477899,0.600342907342173,-6.99082708819772
"mir-8112-3p",0.00868204885074775,5.51637645700922,0.0306245697678391,0.976009806468088,0.980347627830169,-6.99885678547004
"mir-7046-3p",0.127780360666763,6.23738657690723,0.643858465826878,0.530279721350221,0.819705341070454,-7.00931532291279
"mir-148b-5p",0.124006176857639,8.63381688246673,1.22064748132894,0.242775739574049,0.645497848749824,-7.0103071978896
"mir-1839-3p",-0.127093007531303,7.16812177305904,-0.954009377218565,0.356579731653089,0.760528202919657,-7.02766942804898
"mir-130b-5p",0.04514034642333,5.73594025339033,0.184179299235049,0.856566211994689,0.935188231453138,-7.05152682467266
"mir-136-5p",-0.0472407132359942,5.75657102559102,-0.192519352760082,0.850154852367082,0.935188231453138,-7.05705742075467
"mir-3061-5p",-0.0419703545214309,5.8163145434772,-0.268628948582992,0.792210712669109,0.920481472797323,-7.05791614929198
"mir-8111-3p",0.0433441469225739,5.87514942491974,0.299289161025119,0.769203422339587,0.920481472797323,-7.06732372599936
"mir-139-5p",-0.103679622574194,9.65042359030259,-1.25848420612283,0.22920315371834,0.631706252931034,-7.0914307675782
"mir-7043-3p",0.0431417976865891,6.03625659163642,0.298871256353847,0.769515557472648,0.920481472797323,-7.11889532050402
"mir-150-3p",0.0789387545758347,6.11855349450331,0.357347881168989,0.726266261280875,0.920481472797323,-7.12441737923501
"mir-136-3p",-0.0540289445758129,6.04640310448067,-0.269670751087044,0.791425495574774,0.920481472797323,-7.13135084883988
"mir-222-5p",-0.0202779370231081,5.94888429646231,-0.098904818230703,0.922643808793224,0.956502297189306,-7.13366570959362
"mir-1a-1-5p",0.0798904014801947,6.15292366048635,0.249502957976356,0.806666988825004,0.920481472797323,-7.16944753747256
"mir-467d-5p",-0.0684391952258334,6.48295298059549,-0.495582088746551,0.628029522311692,0.85898362342293,-7.17020874738972
"mir-7015-3p",-0.0867398148610672,6.67122648873817,-0.575248858228078,0.574432906976411,0.83833972897405,-7.18307771664608
"mir-499-3p",-0.0828435187573957,6.21464667109044,-0.266214628431472,0.794031310463156,0.920481472797323,-7.1836316135086
"mir-874-5p",-0.0620112328004998,6.51337934985608,-0.47476164457961,0.642422372246501,0.869385964836583,-7.18997465500266
